"Product ID";"Image";"Name";"Reference";"Category";"Price (tax excl.)";"Price (tax incl.)";"Quantity";"Status";"Position"
"1";"cyclone-cup_image_1.png";"Cyclone Cup";"";"ACCESSORIES";"1400.0";"1400.0";"0";"0";"1"
"2";"scitec-traveller-shaker_image_1.png";"scitec TRAVELLER SHAKER";"";"ACCESSORIES";"700.0";"700.0";"0";"0";"1"
"3";"";"scitec SHAKER bottle";"";"ACCESSORIES";"500.0";"500.0";"0";"0";"1"
"4";"shaker-cup_image_1.jpeg";"ON Shaker Cup";"";"ACCESSORIES";"700.0";"700.0";"0";"0";"1"
"5";"animal-cuts-42-packs_image_1.png";"Universal Animal Cuts 42 packs";"";"FAT BURNERS";"5800.0";"5800.0";"0";"0";"1"
"6";"platinum-100-carnitine-180-capsules_image_1.jpeg";"Muscletech Platinum 100% Carnitine 180 Capsules";"";"FAT BURNERS";"5200.0";"5200.0";"0";"0";"1"
"7";"l-carnitine-500-mg-60-tabs_image_1.jpeg";"ON L Carnitine 500 mg - 60 tabs";"";"FAT BURNERS";"2900.0";"2900.0";"0";"0";"1"
"8";"platinum-pure-cla-800mg-90-capsules_image_1.jpeg";"Muscletech PLATINUM PURE CLA 800mg - 90 Capsules";"";"FAT BURNERS";"3200.0";"3200.0";"0";"0";"1"
"9";"shred-jym-240-capsules_image_1.png";"Shred JYM 240 Capsules";"";"FAT BURNERS";"7200.0";"7200.0";"0";"0";"1"
"10";"rsp-quadralean-thermogenic-180-capsules_image_1.png";"RSP QUADRALEAN THERMOGENIC 180 capsules";"";"FAT BURNERS";"5800.0";"5800.0";"0";"0";"1"
"11";"fat-burner-advanced-120-tablets_image_1.png";"API FAT BURNER ADVANCED 120 tablets";"";"FAT BURNERS";"2200.0";"2200.0";"0";"0";"1"
"12";"lipo-6-black-120-capsules_image_1.png";"Nutrex Lipo 6 Black 120 capsules";"";"FAT BURNERS";"4900.0";"4900.0";"0";"0";"1"
"13";"revex-16-108-capsules_image_1.png";"Scitec Revex-16 108 capsules";"";"FAT BURNERS";"4900.0";"4900.0";"0";"0";"1"
"14";"evl-cla-1000-90-softgels_image_1.png";"EVL CLA 1000 - 90 SOFTGELS";"";"FAT BURNERS";"3200.0";"3200.0";"0";"0";"1"
"15";"rsp-nutrition-cla-90-softgels_image_1.png";"RSP NUTRITION CLA 90 Softgels";"";"FAT BURNERS";"3200.0";"3200.0";"0";"0";"1"
"16";"cla-90-softgels_image_1.jpeg";"ON CLA 90 Softgels";"";"FAT BURNERS";"3200.0";"3200.0";"0";"0";"1"
"17";"carni-complex-60-caps_image_1.png";"Scitec Carni Complex 60 Caps";"";"FAT BURNERS";"3200.0";"3200.0";"0";"0";"1"
"18";"tgh-240-gm_image_1.png";"Scitec T/GH 240 gm";"";"HEALTH & WELLNESS";"5200.0";"5200.0";"0";"0";"1"
"19";"gh-surge-90-capsules_image_1.png";"Scitec GH Surge 90 Capsules";"";"HEALTH & WELLNESS";"3200.0";"3200.0";"0";"0";"1"
"20";"daa-pro-black-100-capsules_image_1.png";"Scitec DAA Pro Black 100 Capsules";"";"HEALTH & WELLNESS";"3900.0";"3900.0";"0";"0";"1"
"21";"vita-jym-60-tablets_image_1.png";"Vita JYM 60 Tablets";"";"HEALTH & WELLNESS";"3500.0";"3500.0";"0";"0";"1"
"22";"alpha-jym-180-capsules_image_1.png";"Alpha JYM 180 CAPSULES";"";"HEALTH & WELLNESS";"3500.0";"3500.0";"0";"0";"1"
"23";"t-360-108-capsules_image_1.png";"Scitec T-360 108 capsules";"";"HEALTH & WELLNESS";"3500.0";"3500.0";"0";"0";"1"
"24";"macatron-108-capsules_image_1.png";"Scitec Macatron 108 CAPSULES";"";"HEALTH & WELLNESS";"3500.0";"3500.0";"0";"0";"1"
"25";"testo-punch-hc-120-capsules_image_1.png";"Scitec Testo Punch HC 120 Capsules";"";"HEALTH & WELLNESS";"4900.0";"4900.0";"0";"0";"1"
"26";"animal-m-stak-21-pak_image_1.png";"Universal Animal M Stak 21 Pak";"";"HEALTH & WELLNESS";"5800.0";"5800.0";"0";"0";"1"
"27";"animal-stak-21-packs_image_1.png";"Universal Animal Stak 21 packs";"";"HEALTH & WELLNESS";"5400.0";"5400.0";"0";"0";"1"
"28";"pro-alpha-test-120-caps-2_image_1.png";"Muscletech Pro Alpha Test 120 caps";"";"HEALTH & WELLNESS";"5600.0";"5600.0";"0";"0";"1"
